Study,Reason for dropping,Qty,# People,Phase,Arm/Group Title,Radiation,Randomized,Neo,Neo Drug,Neo Drug Dosage,Neo Drug Dosage Unit,Surgery,Concomitant,Concomitant Drug,Concomitant Drug Dosage,Concomitant Drug Dose Unit,IV for Concomitant Drug,Duration of IV for Concomitant Drug,Concomitant Temodal2, Concomitant Temodal Dose,Concomitant Temodal Dose Unit,Adjuvant,Adjuvant TEM,Adjuvant TEM 1 Dosage,Adjuvant TEM 1 dosage unit,Adjuvant TEM 2 Dosage,Adjuvant TEM 2 doage unit,Adjuvant Drug 1,Adjuvant Drug 1 dosage,Adjuvant Drug 1 Dosage Unit,IV for Adjuvant Drug 1,Duration of IV for Adjuvant Drug 1,Adjuvant Drug 2,Adjuvant Drug 2 dosage,Adjuvant Drug 2 Dosage Unit,IV for Adjuvant Drug 2,Duration of IV for Adjuvant Drug 2,SOC,Recurrent,Methylated,Treatment Drug 1,Treatment Drug 1 Dose,Treatment Drug 1 Dose Unit,IV for Treatment Drug 1,Duration of IV for Treatment Drug 1,Oral Injection,Duration of Oral Injection,Treatment Drug 2,Dose for Treatment drug 2,Dosage Unit for Treatment Drug 2,IV for treatment drug 2,Duration of IV for Treatment Drug 2,Universal IV,Overall Survival (months),IV for Adjuvant All Phases
A Study of Avastin (Bevacizumab) and Irinotecan Versus Temozolomide Radiochemistry in Patients With Glioblastoma,Protocol Violation,3,122,2,Bevacizumab + Irinotecan,TRUE,TRUE,,,,,,TRUE,Bevacizumab,10,mg/kg,TRUE,1,FALSE,,,TRUE,FALSE,,,,,Bevacizumab,10,mg/kg,TRUE,1,Irinotecan,125,mg/m2,TRUE,1.5,TRUE,FALSE,,,,,,,,,,,,,,TRUE,16.64,TRUE
A Study of Avastin (Bevacizumab) and Irinotecan Versus Temozolomide Radiochemistry in Patients With Glioblastoma,Regular,10,122,2,Bevacizumab + Irinotecan,TRUE,TRUE,,,,,,TRUE,Bevacizumab,10,mg/kg,TRUE,1,FALSE,,,TRUE,FALSE,,,,,Bevacizumab,10,mg/kg,TRUE,1,Irinotecan,125,mg/m2,TRUE,1.5,TRUE,FALSE,,,,,,,,,,,,,,TRUE,16.64,TRUE
A Study of Avastin (Bevacizumab) and Irinotecan Versus Temozolomide Radiochemistry in Patients With Glioblastoma,Withdrawal by Subject,6,122,2,Bevacizumab + Irinotecan,TRUE,TRUE,,,,,,TRUE,Bevacizumab,10,mg/kg,TRUE,1,FALSE,,,TRUE,FALSE,,,,,Bevacizumab,10,mg/kg,TRUE,1,Irinotecan,125,mg/m2,TRUE,1.5,TRUE,FALSE,,,,,,,,,,,,,,TRUE,16.64,TRUE
A Study of Avastin (Bevacizumab) and Irinotecan Versus Temozolomide Radiochemistry in Patients With Glioblastoma,Lost to Follow-Up,1,122,2,Bevacizumab + Irinotecan,TRUE,TRUE,,,,,,TRUE,Bevacizumab,10,mg/kg,TRUE,1,FALSE,,,TRUE,FALSE,,,,,Bevacizumab,10,mg/kg,TRUE,1,Irinotecan,125,mg/m2,TRUE,1.5,TRUE,FALSE,,,,,,,,,,,,,,TRUE,16.64,TRUE
A Study of Avastin (Bevacizumab) and Irinotecan Versus Temozolomide Radiochemistry in Patients With Glioblastoma,Death,102,122,2,Bevacizumab + Irinotecan,TRUE,TRUE,,,,,,TRUE,Bevacizumab,10,mg/kg,TRUE,1,FALSE,,,TRUE,FALSE,,,,,Bevacizumab,10,mg/kg,TRUE,1,Irinotecan,125,mg/m2,TRUE,1.5,TRUE,FALSE,,,,,,,,,,,,,,TRUE,16.64,TRUE
A Study of Avastin (Bevacizumab) and Irinotecan Versus Temozolomide Radiochemistry in Patients With Glioblastoma,Severe protocol deviation,0,122,2,Bevacizumab + Irinotecan,TRUE,TRUE,,,,,,TRUE,Bevacizumab,10,mg/kg,TRUE,1,FALSE,,,TRUE,FALSE,,,,,Bevacizumab,10,mg/kg,TRUE,1,Irinotecan,125,mg/m2,TRUE,1.5,TRUE,FALSE,,,,,,,,,,,,,,TRUE,16.64,TRUE
A Study of Avastin (Bevacizumab) and Irinotecan Versus Temozolomide Radiochemistry in Patients With Glioblastoma,None,0,122,2,Bevacizumab + Irinotecan,TRUE,TRUE,,,,,,TRUE,Bevacizumab,10,mg/kg,TRUE,1,FALSE,,,TRUE,FALSE,,,,,Bevacizumab,10,mg/kg,TRUE,1,Irinotecan,125,mg/m2,TRUE,1.5,TRUE,FALSE,,,,,,,,,,,,,,TRUE,16.64,TRUE
A Study of Avastin (Bevacizumab) and Irinotecan Versus Temozolomide Radiochemistry in Patients With Glioblastoma,Protocol Violation,4,60,2,Temozolomide,FALSE,TRUE,,,,,,TRUE,,,,,,TRUE,75,mg/m2,TRUE,TRUE,175,mg/m2,,,,,,,,,,,,,TRUE,FALSE,,,,,,,,,,,,,,FALSE,17.3,
A Study of Avastin (Bevacizumab) and Irinotecan Versus Temozolomide Radiochemistry in Patients With Glioblastoma,Regular,3,60,2,Temozolomide,FALSE,TRUE,,,,,,TRUE,,,,,,TRUE,75,mg/m2,TRUE,TRUE,175,mg/m2,,,,,,,,,,,,,TRUE,FALSE,,,,,,,,,,,,,,FALSE,17.3,
A Study of Avastin (Bevacizumab) and Irinotecan Versus Temozolomide Radiochemistry in Patients With Glioblastoma,Withdrawal by Subject,0,60,2,Temozolomide,FALSE,TRUE,,,,,,TRUE,,,,,,TRUE,75,mg/m2,TRUE,TRUE,175,mg/m2,,,,,,,,,,,,,TRUE,FALSE,,,,,,,,,,,,,,FALSE,17.3,
A Study of Avastin (Bevacizumab) and Irinotecan Versus Temozolomide Radiochemistry in Patients With Glioblastoma,Lost to Follow-Up,1,60,2,Temozolomide,FALSE,TRUE,,,,,,TRUE,,,,,,TRUE,75,mg/m2,TRUE,TRUE,175,mg/m2,,,,,,,,,,,,,TRUE,FALSE,,,,,,,,,,,,,,FALSE,17.3,
A Study of Avastin (Bevacizumab) and Irinotecan Versus Temozolomide Radiochemistry in Patients With Glioblastoma,Death,51,60,2,Temozolomide,FALSE,TRUE,,,,,,TRUE,,,,,,TRUE,75,mg/m2,TRUE,TRUE,175,mg/m2,,,,,,,,,,,,,TRUE,FALSE,,,,,,,,,,,,,,FALSE,17.3,
A Study of Avastin (Bevacizumab) and Irinotecan Versus Temozolomide Radiochemistry in Patients With Glioblastoma,Severe protocol deviation,1,60,2,Temozolomide,FALSE,TRUE,,,,,,TRUE,,,,,,TRUE,75,mg/m2,TRUE,TRUE,175,mg/m2,,,,,,,,,,,,,TRUE,FALSE,,,,,,,,,,,,,,FALSE,17.3,
A Study of Avastin (Bevacizumab) and Irinotecan Versus Temozolomide Radiochemistry in Patients With Glioblastoma,None,0,60,2,Temozolomide,FALSE,TRUE,,,,,,TRUE,,,,,,TRUE,75,mg/m2,TRUE,TRUE,175,mg/m2,,,,,,,,,,,,,TRUE,FALSE,,,,,,,,,,,,,,FALSE,17.3,
Cediranib in Combination With Lomustine Chemotherapy in Recurrent Glioblastoma (REGAL),None,41,131,3,Cediranib,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,TRUE,,Cediranib,30,mg,FALSE,,,,,,,,,FALSE,8,
Cediranib in Combination With Lomustine Chemotherapy in Recurrent Glioblastoma (REGAL),Lost to Follow-up,1,131,3,Cediranib,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,TRUE,,Cediranib,30,mg,FALSE,,,,,,,,,FALSE,8,
Cediranib in Combination With Lomustine Chemotherapy in Recurrent Glioblastoma (REGAL),Death,85,131,3,Cediranib,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,TRUE,,Cediranib,30,mg,FALSE,,,,,,,,,FALSE,8,
Cediranib in Combination With Lomustine Chemotherapy in Recurrent Glioblastoma (REGAL),Withdrawal by Subject,3,131,3,Cediranib,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,TRUE,,Cediranib,30,mg,FALSE,,,,,,,,,FALSE,8,
Cediranib in Combination With Lomustine Chemotherapy in Recurrent Glioblastoma (REGAL),Incorrect enrol/elig crit not fulfilled,1,131,3,Cediranib,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,TRUE,,Cediranib,30,mg,FALSE,,,,,,,,,FALSE,8,
Cediranib in Combination With Lomustine Chemotherapy in Recurrent Glioblastoma (REGAL),None,46,129,3,Cediranib + Lomustine,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,TRUE,,Cediranib,20,mg,FALSE,,,,Lomustine,110,mg/m2,FALSE,,FALSE,9.4,
Cediranib in Combination With Lomustine Chemotherapy in Recurrent Glioblastoma (REGAL),Lost to Follow-up,1,129,3,Cediranib + Lomustine,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,TRUE,,Cediranib,20,mg,FALSE,,,,Lomustine,110,mg/m2,FALSE,,FALSE,9.4,
Cediranib in Combination With Lomustine Chemotherapy in Recurrent Glioblastoma (REGAL),Death,73,129,3,Cediranib + Lomustine,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,TRUE,,Cediranib,20,mg,FALSE,,,,Lomustine,110,mg/m2,FALSE,,FALSE,9.4,
Cediranib in Combination With Lomustine Chemotherapy in Recurrent Glioblastoma (REGAL),Withdrawal by Subject,4,129,3,Cediranib + Lomustine,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,TRUE,,Cediranib,20,mg,FALSE,,,,Lomustine,110,mg/m2,FALSE,,FALSE,9.4,
Cediranib in Combination With Lomustine Chemotherapy in Recurrent Glioblastoma (REGAL),Incorrect enrol/elig crit not fulfilled,5,129,3,Cediranib + Lomustine,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,TRUE,,Cediranib,20,mg,FALSE,,,,Lomustine,110,mg/m2,FALSE,,FALSE,9.4,
Cediranib in Combination With Lomustine Chemotherapy in Recurrent Glioblastoma (REGAL),None,28,65,3,Lomustime,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,TRUE,,Lomustine,110,mg/m2,FALSE,,,,Placebo Cediranib,20,mg,FALSE,,FALSE,9.8,
Cediranib in Combination With Lomustine Chemotherapy in Recurrent Glioblastoma (REGAL),Lost to Follow-up,0,65,3,Lomustime,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,TRUE,,Lomustine,110,mg/m2,FALSE,,,,Placebo Cediranib,20,mg,FALSE,,FALSE,9.8,
Cediranib in Combination With Lomustine Chemotherapy in Recurrent Glioblastoma (REGAL),Death,33,65,3,Lomustime,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,TRUE,,Lomustine,110,mg/m2,FALSE,,,,Placebo Cediranib,20,mg,FALSE,,FALSE,9.8,
Cediranib in Combination With Lomustine Chemotherapy in Recurrent Glioblastoma (REGAL),Withdrawal by Subject,3,65,3,Lomustime,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,TRUE,,Lomustine,110,mg/m2,FALSE,,,,Placebo Cediranib,20,mg,FALSE,,FALSE,9.8,
Cediranib in Combination With Lomustine Chemotherapy in Recurrent Glioblastoma (REGAL),Incorrect enrol/elig crit not fulfilled,1,65,3,Lomustime,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,TRUE,,Lomustine,110,mg/m2,FALSE,,,,Placebo Cediranib,20,mg,FALSE,,FALSE,9.8,
Cilengitide (EMD 121974) for Recurrent Glioblastoma Multiforme (Brain Tumor),None,41,41,2,Cilengitide 500 Milligram (mg),FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,TRUE,,Cilengitide,500,mg,TRUE,1,,,,,,,,TRUE,6.54,
Cilengitide (EMD 121974) for Recurrent Glioblastoma Multiforme (Brain Tumor),None,40,40,2,Cilengitide 2000 Milligram (mg),FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,TRUE,,Cilengitide,2000,mg,TRUE,1,,,,,,,,TRUE,9.91,
"Cilengitide, Temozolomide, and Radiation Therapy in Treating Patients With Newly Diagnosed Glioblastoma and Methylated Gene Promoter Status (CENTRIC)",None,233,272,3,Cilengitide + Temozolomide + Radiotherapy,TRUE,TRUE,,,,,,TRUE,Cilengitide,2000,mg,TRUE,1,TRUE,75,mg/m2,TRUE,TRUE,175,mg/m2,,,Cilengitide,2000,mg,TRUE,1,,,,,,TRUE,FALSE,TRUE,,,,,,,,,,,,,TRUE,26.3,TRUE
"Cilengitide, Temozolomide, and Radiation Therapy in Treating Patients With Newly Diagnosed Glioblastoma and Methylated Gene Promoter Status (CENTRIC)",Ongoing at cut-off date,39,272,3,Cilengitide + Temozolomide + Radiotherapy,TRUE,TRUE,,,,,,TRUE,Cilengitide,2000,mg,TRUE,1,TRUE,75,mg/m2,TRUE,TRUE,175,mg/m2,,,Cilengitide,2000,mg,TRUE,1,,,,,,TRUE,FALSE,TRUE,,,,,,,,,,,,,TRUE,26.3,TRUE
"Cilengitide, Temozolomide, and Radiation Therapy in Treating Patients With Newly Diagnosed Glioblastoma and Methylated Gene Promoter Status (CENTRIC)",None,237,273,3,Temozolomide + Radiotherapy,TRUE,TRUE,,,,,,TRUE,,,,,,TRUE,75,mg/m2,TRUE,TRUE,175,mg/m2,,,,,,,,,,,,,TRUE,FALSE,TRUE,,,,,,,,,,,,,FALSE,26.3,
"Cilengitide, Temozolomide, and Radiation Therapy in Treating Patients With Newly Diagnosed Glioblastoma and Methylated Gene Promoter Status (CENTRIC)",Ongoing at cut-off date,36,273,3,Temozolomide + Radiotherapy,TRUE,TRUE,,,,,,TRUE,,,,,,TRUE,75,mg/m2,TRUE,TRUE,175,mg/m2,,,,,,,,,,,,,TRUE,FALSE,TRUE,,,,,,,,,,,,,FALSE,26.3,
"Cilengitide, Temozolomide, and Radiation Therapy in Treating Patients With Newly Diagnosed Glioblastoma Multiforme",None,46,46,2,Arm 2 - Phase II (Treatment 1),TRUE,TRUE,,,,,,TRUE,Cilengitide,500,mg,TRUE,1,TRUE,75,mg/m2,TRUE,TRUE,150,mg/m2,,,Cilengitide,500,mg,TRUE,1,,,,,,TRUE,FALSE,,,,,,,,,,,,,,TRUE,,TRUE
"Cilengitide, Temozolomide, and Radiation Therapy in Treating Patients With Newly Diagnosed Glioblastoma Multiforme",None,48,48,2,Arm 3 - Phase II (Treatment 2),TRUE,TRUE,,,,,,TRUE,Cilengitide,2000,mg,TRUE,1,TRUE,75,mg/m2,TRUE,TRUE,150,mg/m2,,,Cilengitide,20000,mg,TRUE,1,,,,,,TRUE,FALSE,,,,,,,,,,,,,,TRUE,19.7,TRUE
Combination of BKM120 and Bevacizumab in Refractory Solid Tumors and Relapsed/Refractory Glioblastoma Multiforme,Still Receiving Study Treatment,0,6,1,"Phase I - Dose Level 1 (60 mg BKM, 10mg/kg Bevacizumab)",FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,TRUE,,BKM120,60,mg,FALSE,,,,Bevacizumab,10,mg/kg,TRUE,1,TRUE,,
Combination of BKM120 and Bevacizumab in Refractory Solid Tumors and Relapsed/Refractory Glioblastoma Multiforme,Disease Progression,2,6,1,"Phase I - Dose Level 1 (60 mg BKM, 10mg/kg Bevacizumab)",FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,TRUE,,BKM120,60,mg,FALSE,,,,Bevacizumab,10,mg/kg,TRUE,1,TRUE,,
Combination of BKM120 and Bevacizumab in Refractory Solid Tumors and Relapsed/Refractory Glioblastoma Multiforme,Adverse Event,1,6,1,"Phase I - Dose Level 1 (60 mg BKM, 10mg/kg Bevacizumab)",FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,TRUE,,BKM120,60,mg,FALSE,,,,Bevacizumab,10,mg/kg,TRUE,1,TRUE,,
Combination of BKM120 and Bevacizumab in Refractory Solid Tumors and Relapsed/Refractory Glioblastoma Multiforme,Withdrawal by Subject,2,6,1,"Phase I - Dose Level 1 (60 mg BKM, 10mg/kg Bevacizumab)",FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,TRUE,,BKM120,60,mg,FALSE,,,,Bevacizumab,10,mg/kg,TRUE,1,TRUE,,
Combination of BKM120 and Bevacizumab in Refractory Solid Tumors and Relapsed/Refractory Glioblastoma Multiforme,Death,1,6,1,"Phase I - Dose Level 1 (60 mg BKM, 10mg/kg Bevacizumab)",FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,TRUE,,BKM120,60,mg,FALSE,,,,Bevacizumab,10,mg/kg,TRUE,1,TRUE,,
Combination of BKM120 and Bevacizumab in Refractory Solid Tumors and Relapsed/Refractory Glioblastoma Multiforme,Non-Permitted Interventions,0,6,1,"Phase I - Dose Level 1 (60 mg BKM, 10mg/kg Bevacizumab)",FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,TRUE,,BKM120,60,mg,FALSE,,,,Bevacizumab,10,mg/kg,TRUE,1,TRUE,,
Combination of BKM120 and Bevacizumab in Refractory Solid Tumors and Relapsed/Refractory Glioblastoma Multiforme,Study Compliance,0,6,1,"Phase I - Dose Level 1 (60 mg BKM, 10mg/kg Bevacizumab)",FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,TRUE,,BKM120,60,mg,FALSE,,,,Bevacizumab,10,mg/kg,TRUE,1,TRUE,,
Combination of BKM120 and Bevacizumab in Refractory Solid Tumors and Relapsed/Refractory Glioblastoma Multiforme,Declining Performance Status,0,6,1,"Phase I - Dose Level 1 (60 mg BKM, 10mg/kg Bevacizumab)",FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,TRUE,,BKM120,60,mg,FALSE,,,,Bevacizumab,10,mg/kg,TRUE,1,TRUE,,
Combination of BKM120 and Bevacizumab in Refractory Solid Tumors and Relapsed/Refractory Glioblastoma Multiforme,None,0,6,1,"Phase I - Dose Level 1 (60 mg BKM, 10mg/kg Bevacizumab)",FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,TRUE,,BKM120,60,mg,FALSE,,,,Bevacizumab,10,mg/kg,TRUE,1,TRUE,,
Combination of BKM120 and Bevacizumab in Refractory Solid Tumors and Relapsed/Refractory Glioblastoma Multiforme,Still Receiving Study Treatment,0,6,1,"Phase I - Dose Level 2 (80 mg BKM120, 10mg/kg Bevacizumab)",FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,TRUE,,BKM120,80,mg,FALSE,,,,Bevacizumab,10,mg/kg,TRUE,1,TRUE,,
Combination of BKM120 and Bevacizumab in Refractory Solid Tumors and Relapsed/Refractory Glioblastoma Multiforme,Disease Progression,4,6,1,"Phase I - Dose Level 2 (80 mg BKM120, 10mg/kg Bevacizumab)",FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,TRUE,,BKM120,80,mg,FALSE,,,,Bevacizumab,10,mg/kg,TRUE,1,TRUE,,
Combination of BKM120 and Bevacizumab in Refractory Solid Tumors and Relapsed/Refractory Glioblastoma Multiforme,Adverse Event,1,6,1,"Phase I - Dose Level 2 (80 mg BKM120, 10mg/kg Bevacizumab)",FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,TRUE,,BKM120,80,mg,FALSE,,,,Bevacizumab,10,mg/kg,TRUE,1,TRUE,,
Combination of BKM120 and Bevacizumab in Refractory Solid Tumors and Relapsed/Refractory Glioblastoma Multiforme,Withdrawal by Subject,0,6,1,"Phase I - Dose Level 2 (80 mg BKM120, 10mg/kg Bevacizumab)",FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,TRUE,,BKM120,80,mg,FALSE,,,,Bevacizumab,10,mg/kg,TRUE,1,TRUE,,
Combination of BKM120 and Bevacizumab in Refractory Solid Tumors and Relapsed/Refractory Glioblastoma Multiforme,Death,1,6,1,"Phase I - Dose Level 2 (80 mg BKM120, 10mg/kg Bevacizumab)",FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,TRUE,,BKM120,80,mg,FALSE,,,,Bevacizumab,10,mg/kg,TRUE,1,TRUE,,
Combination of BKM120 and Bevacizumab in Refractory Solid Tumors and Relapsed/Refractory Glioblastoma Multiforme,Non-Permitted Interventions,0,6,1,"Phase I - Dose Level 2 (80 mg BKM120, 10mg/kg Bevacizumab)",FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,TRUE,,BKM120,80,mg,FALSE,,,,Bevacizumab,10,mg/kg,TRUE,1,TRUE,,
Combination of BKM120 and Bevacizumab in Refractory Solid Tumors and Relapsed/Refractory Glioblastoma Multiforme,Study Compliance,0,6,1,"Phase I - Dose Level 2 (80 mg BKM120, 10mg/kg Bevacizumab)",FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,TRUE,,BKM120,80,mg,FALSE,,,,Bevacizumab,10,mg/kg,TRUE,1,TRUE,,
Combination of BKM120 and Bevacizumab in Refractory Solid Tumors and Relapsed/Refractory Glioblastoma Multiforme,Declining Performance Status,0,6,1,"Phase I - Dose Level 2 (80 mg BKM120, 10mg/kg Bevacizumab)",FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,TRUE,,BKM120,80,mg,FALSE,,,,Bevacizumab,10,mg/kg,TRUE,1,TRUE,,
