Study,Reason for dropping,Qty,# People,Phase,Arm/Group Title,Radiation,Randomized,Neo,Neo Drug,Neo Drug Dosage,Neo Drug Dosage Unit,Surgery,Concomitant,Concomitant Drug,Concomitant Drug Dosage,Concomitant Drug Dose Unit,IV for Concomitant Drug,Duration of IV for Concomitant Drug,Concomitant Temodal2, Concomitant Temodal Dose,Concomitant Temodal Dose Unit,Adjuvant,Adjuvant TEM,Adjuvant TEM 1 Dosage,Adjuvant TEM 1 dosage unit,Adjuvant TEM 2 Dosage,Adjuvant TEM 2 doage unit,Adjuvant Drug 1,Adjuvant Drug 1 dosage,Adjuvant Drug 1 Dosage Unit,IV for Adjuvant Drug 1,Duration of IV for Adjuvant Drug 1,Adjuvant Drug 2,Adjuvant Drug 2 dosage,Adjuvant Drug 2 Dosage Unit,IV for Adjuvant Drug 2,Duration of IV for Adjuvant Drug 2,SOC,Recurrent,Methylated,Treatment Drug 1,Treatment Drug 1 Dose,Treatment Drug 1 Dose Unit,IV for Treatment Drug 1,Duration of IV for Treatment Drug 1,Oral Injection,Duration of Oral Injection,Treatment Drug 2,Dose for Treatment drug 2,Dosage Unit for Treatment Drug 2,IV for treatment drug 2,Duration of IV for Treatment Drug 2,Universal IV,Overall Survival (months),IV for Adjuvant All Phases
Combination of BKM120 and Bevacizumab in Refractory Solid Tumors and Relapsed/Refractory Glioblastoma Multiforme,None,0,6,1,"Phase I - Dose Level 2 (80 mg BKM120, 10mg/kg Bevacizumab)",FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,TRUE,,BKM120,80,mg,FALSE,,,,Bevacizumab,10,mg/kg,TRUE,1,TRUE,,
Combination of BKM120 and Bevacizumab in Refractory Solid Tumors and Relapsed/Refractory Glioblastoma Multiforme,Still Receiving Study Treatment,1,76,2,"Phase II - (60 mg BKM120, 10mg/kg Bevacizumab)",FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,TRUE,,BKM120,60,mg,FALSE,,,,Bevacizumab,10,mg/kg,TRUE,,TRUE,10.8,
Combination of BKM120 and Bevacizumab in Refractory Solid Tumors and Relapsed/Refractory Glioblastoma Multiforme,Disease Progression,50,76,2,"Phase II - (60 mg BKM120, 10mg/kg Bevacizumab)",FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,TRUE,,BKM120,60,mg,FALSE,,,,Bevacizumab,10,mg/kg,TRUE,,TRUE,10.8,
Combination of BKM120 and Bevacizumab in Refractory Solid Tumors and Relapsed/Refractory Glioblastoma Multiforme,Adverse Event,12,76,2,"Phase II - (60 mg BKM120, 10mg/kg Bevacizumab)",FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,TRUE,,BKM120,60,mg,FALSE,,,,Bevacizumab,10,mg/kg,TRUE,,TRUE,10.8,
Combination of BKM120 and Bevacizumab in Refractory Solid Tumors and Relapsed/Refractory Glioblastoma Multiforme,Withdrawal by Subject,9,76,2,"Phase II - (60 mg BKM120, 10mg/kg Bevacizumab)",FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,TRUE,,BKM120,60,mg,FALSE,,,,Bevacizumab,10,mg/kg,TRUE,,TRUE,10.8,
Combination of BKM120 and Bevacizumab in Refractory Solid Tumors and Relapsed/Refractory Glioblastoma Multiforme,Death,0,76,2,"Phase II - (60 mg BKM120, 10mg/kg Bevacizumab)",FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,TRUE,,BKM120,60,mg,FALSE,,,,Bevacizumab,10,mg/kg,TRUE,,TRUE,10.8,
Combination of BKM120 and Bevacizumab in Refractory Solid Tumors and Relapsed/Refractory Glioblastoma Multiforme,Non-Permitted Interventions,2,76,2,"Phase II - (60 mg BKM120, 10mg/kg Bevacizumab)",FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,TRUE,,BKM120,60,mg,FALSE,,,,Bevacizumab,10,mg/kg,TRUE,,TRUE,10.8,
Combination of BKM120 and Bevacizumab in Refractory Solid Tumors and Relapsed/Refractory Glioblastoma Multiforme,Study Compliance,1,76,2,"Phase II - (60 mg BKM120, 10mg/kg Bevacizumab)",FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,TRUE,,BKM120,60,mg,FALSE,,,,Bevacizumab,10,mg/kg,TRUE,,TRUE,10.8,
Combination of BKM120 and Bevacizumab in Refractory Solid Tumors and Relapsed/Refractory Glioblastoma Multiforme,Declining Performance Status,1,76,2,"Phase II - (60 mg BKM120, 10mg/kg Bevacizumab)",FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,TRUE,,BKM120,60,mg,FALSE,,,,Bevacizumab,10,mg/kg,TRUE,,TRUE,10.8,
Combination of BKM120 and Bevacizumab in Refractory Solid Tumors and Relapsed/Refractory Glioblastoma Multiforme,None,0,76,2,"Phase II - (60 mg BKM120, 10mg/kg Bevacizumab)",FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,TRUE,,BKM120,60,mg,FALSE,,,,Bevacizumab,10,mg/kg,TRUE,,TRUE,10.8,
"Dasatinib or Placebo, Radiation Therapy, and Temozolomide in Treating Patients With Newly Diagnosed Glioblastoma Multiforme",None,3,3,1,Dose Level 0- Phase I,TRUE,TRUE,,,,,,TRUE,Dasatinib,100,mg,FALSE,,TRUE,75,mg/m2,TRUE,TRUE,150,mg/m2,200,mg/m2,Dasatinib,100,mg,FALSE,,,,,,,TRUE,FALSE,,,,,,,,,,,,,,FALSE,,
"Dasatinib or Placebo, Radiation Therapy, and Temozolomide in Treating Patients With Newly Diagnosed Glioblastoma Multiforme",Withdrawal by Subject,0,3,1,Dose Level 0- Phase I,TRUE,TRUE,,,,,,TRUE,Dasatinib,100,mg,FALSE,,TRUE,75,mg/m2,TRUE,TRUE,150,mg/m2,200,mg/m2,Dasatinib,100,mg,FALSE,,,,,,,TRUE,FALSE,,,,,,,,,,,,,,FALSE,,
"Dasatinib or Placebo, Radiation Therapy, and Temozolomide in Treating Patients With Newly Diagnosed Glioblastoma Multiforme",Withdrawal by Subject,0,3,1,Dose Level 0-A Phase I,TRUE,TRUE,,,,,,TRUE,Dasatinib,100,mg,FALSE,,TRUE,75,mg/m2,TRUE,TRUE,150,mg/m2,200,mg/m2,Dasatinib,100,mg,FALSE,,,,,,,TRUE,FALSE,,,,,,,,,,,,,,FALSE,,
"Dasatinib or Placebo, Radiation Therapy, and Temozolomide in Treating Patients With Newly Diagnosed Glioblastoma Multiforme",None,3,3,1,Dose Level 0-A Phase I,TRUE,TRUE,,,,,,TRUE,Dasatinib,100,mg,FALSE,,TRUE,75,mg/m2,TRUE,TRUE,150,mg/m2,200,mg/m2,Dasatinib,100,mg,FALSE,,,,,,,TRUE,FALSE,,,,,,,,,,,,,,FALSE,,
"Dasatinib or Placebo, Radiation Therapy, and Temozolomide in Treating Patients With Newly Diagnosed Glioblastoma Multiforme",Withdrawal by Subject,0,7,1,Dose Level 1 Phase I,TRUE,TRUE,,,,,,TRUE,Dasatinib,150,mg,FALSE,,TRUE,75,mg/m2,TRUE,TRUE,150,mg/m2,200,mg/m2,Dasatinib,150,mg,FALSE,,,,,,,TRUE,FALSE,,,,,,,,,,,,,,FALSE,,
"Dasatinib or Placebo, Radiation Therapy, and Temozolomide in Treating Patients With Newly Diagnosed Glioblastoma Multiforme",None,7,7,1,Dose Level 1 Phase I,TRUE,TRUE,,,,,,TRUE,Dasatinib,150,mg,FALSE,,TRUE,75,mg/m2,TRUE,TRUE,150,mg/m2,200,mg/m2,Dasatinib,150,mg,FALSE,,,,,,,TRUE,FALSE,,,,,,,,,,,,,,FALSE,,
"Dasatinib or Placebo, Radiation Therapy, and Temozolomide in Treating Patients With Newly Diagnosed Glioblastoma Multiforme",Withdrawal by Subject,5,138,2,Group 1 (Phase II) Dasatinib + Radiation + Temozolomide,TRUE,TRUE,,,,,,TRUE,Dasatinib,150,mg,FALSE,,TRUE,75,mg/m2,TRUE,TRUE,150,mg/m2,200,mg/m2,Dasatinib,150,mg,FALSE,,,,,,,TRUE,FALSE,,,,,,,,,,,,,,FALSE,15.6,
"Dasatinib or Placebo, Radiation Therapy, and Temozolomide in Treating Patients With Newly Diagnosed Glioblastoma Multiforme",None,133,138,2,Group 1 (Phase II) Dasatinib + Radiation + Temozolomide,TRUE,TRUE,,,,,,TRUE,Dasatinib,150,mg,FALSE,,TRUE,75,mg/m2,TRUE,TRUE,150,mg/m2,200,mg/m2,Dasatinib,150,mg,FALSE,,,,,,,TRUE,FALSE,,,,,,,,,,,,,,FALSE,15.6,
"Dasatinib or Placebo, Radiation Therapy, and Temozolomide in Treating Patients With Newly Diagnosed Glioblastoma Multiforme",Withdrawal by Subject,3,66,2,Group 2 (Phase II) Placebo + Radiation + Temozolomide,TRUE,TRUE,,,,,,TRUE,Placebo,150,mg,FALSE,,TRUE,75,mg/m2,TRUE,TRUE,150,mg/m2,200,mg/m2,Placebo,150,mg,FALSE,,,,,,,TRUE,FALSE,,,,,,,,,,,,,,FALSE,19.3,
"Dasatinib or Placebo, Radiation Therapy, and Temozolomide in Treating Patients With Newly Diagnosed Glioblastoma Multiforme",None,63,66,2,Group 2 (Phase II) Placebo + Radiation + Temozolomide,TRUE,TRUE,,,,,,TRUE,Placebo,150,mg,FALSE,,TRUE,75,mg/m2,TRUE,TRUE,150,mg/m2,200,mg/m2,Placebo,150,mg,FALSE,,,,,,,TRUE,FALSE,,,,,,,,,,,,,,FALSE,19.3,
"Motexafin Gadolinium, Temozolomide, and Radiation Therapy in Treating Patients With Newly Diagnosed Glioblastoma Multiforme or Gliosarcoma","Ineligible / No protocol treatment	",1,10,1,Phase I: MGd 4 mg/kg,TRUE,FALSE,,,,,,TRUE,Mgd,4,mg/kg,TRUE,0.5,TRUE,75,mg/m2,TRUE,TRUE,,,,,,,,,,,,,,,TRUE,FALSE,,,,,,,,,,,,,,TRUE,,
"Motexafin Gadolinium, Temozolomide, and Radiation Therapy in Treating Patients With Newly Diagnosed Glioblastoma Multiforme or Gliosarcoma","Ineligible / No protocol treatment	",1,7,1,Phase I: MGd 5 mg/kg,TRUE,FALSE,,,,,,TRUE,Mgd,5,mg/kg,TRUE,0.5,TRUE,75,mg/m2,TRUE,TRUE,,,,,,,,,,,,,,,TRUE,FALSE,,,,,,,,,,,,,,TRUE,,
"Motexafin Gadolinium, Temozolomide, and Radiation Therapy in Treating Patients With Newly Diagnosed Glioblastoma Multiforme or Gliosarcoma","Ineligible / No protocol treatment	",13,94,2,Phase II: MGd 5 mg/kg,TRUE,FALSE,,,,,,TRUE,Mgd,5,mg/kg,TRUE,0.5,TRUE,75,mg/m2,TRUE,TRUE,,,,,,,,,,,,,,,TRUE,FALSE,,,,,,,,,,,,,,TRUE,15.6,
"Motexafin Gadolinium, Temozolomide, and Radiation Therapy in Treating Patients With Newly Diagnosed Glioblastoma Multiforme or Gliosarcoma",None,9,10,1,Phase I: MGd 4 mg/kg,TRUE,FALSE,,,,,,TRUE,Mgd,4,mg/kg,TRUE,0.5,TRUE,75,mg/m2,TRUE,TRUE,,,,,,,,,,,,,,,TRUE,FALSE,,,,,,,,,,,,,,TRUE,15.6,
"Motexafin Gadolinium, Temozolomide, and Radiation Therapy in Treating Patients With Newly Diagnosed Glioblastoma Multiforme or Gliosarcoma",None,6,7,1,Phase I: MGd 5 mg/kg,TRUE,FALSE,,,,,,TRUE,Mgd,5,mg/kg,TRUE,0.5,TRUE,75,mg/m2,TRUE,TRUE,,,,,,,,,,,,,,,TRUE,FALSE,,,,,,,,,,,,,,TRUE,15.6,
"Motexafin Gadolinium, Temozolomide, and Radiation Therapy in Treating Patients With Newly Diagnosed Glioblastoma Multiforme or Gliosarcoma",None,81,94,2,Phase II: MGd 5 mg/kg,TRUE,FALSE,,,,,,TRUE,Mgd,5,mg/kg,TRUE,0.5,TRUE,75,mg/m2,TRUE,TRUE,,,,,,,,,,,,,,,TRUE,FALSE,,,,,,,,,,,,,,TRUE,15.6,
Ph II Bev + Either Temozolomide/Etoposide for GBM Pts Who Have Failed Bev + Irinotecan,None,10,10,2,Teozolomide Arm,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,TRUE,,Bevacizumab,10,mg/kg,TRUE,1,,,Temozolomide,50,mg/m2,FALSE,,TRUE,12.6,
Ph II Bev + Either Temozolomide/Etoposide for GBM Pts Who Have Failed Bev + Irinotecan,None,12,13,2,Etoposide Arm,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,TRUE,,Bevacizumab,10,mg/kg,TRUE,1,,,Etopside,50,mg/m2,FALSE,,TRUE,19,
Ph II Bev + Either Temozolomide/Etoposide for GBM Pts Who Have Failed Bev + Irinotecan,Death,1,13,2,Etoposide Arm,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,TRUE,,Bevacizumab,10,mg/kg,TRUE,1,,,Etopside,50,mg/m2,FALSE,,TRUE,19,
PPX and Concurrent Radiation for Newly Diagnosed Glioblastoma Without MGMT Methylation,Withdrawal by Subject,3,42,2,Radiation Plus PPX(CT2103,TRUE,TRUE,,,,,,TRUE,PPX,50,mg/m2,TRUE,,TRUE,,,TRUE,TRUE,,,,,,,,,,,,,,,TRUE,FALSE,FALSE,,,,,,,,,,,,,TRUE,,
PPX and Concurrent Radiation for Newly Diagnosed Glioblastoma Without MGMT Methylation,None,39,42,2,Radiation Plus PPX(CT2103,TRUE,TRUE,,,,,,TRUE,PPX,50,mg/m2,TRUE,,TRUE,,,TRUE,TRUE,,,,,,,,,,,,,,,TRUE,FALSE,FALSE,,,,,,,,,,,,,TRUE,,
PPX and Concurrent Radiation for Newly Diagnosed Glioblastoma Without MGMT Methylation,Withdrawal by Subject,3,21,2,Radiation + Temozolomide,TRUE,TRUE,,,,,,TRUE,,,,,,TRUE,75,mg/m2,TRUE,TRUE,75,mg/m2,,,,,,,,,,,,,TRUE,FALSE,FALSE,,,,,,,,,,,,,FALSE,,
PPX and Concurrent Radiation for Newly Diagnosed Glioblastoma Without MGMT Methylation,None,18,21,2,Radiation + Temozolomide,TRUE,TRUE,,,,,,TRUE,,,,,,TRUE,75,mg/m2,TRUE,TRUE,75,mg/m2,,,,,,,,,,,,,TRUE,FALSE,FALSE,,,,,,,,,,,,,FALSE,,
Standard Temodal (Temozolomide) Regimen Versus Standard Regimen Plus Early Postsurgery Temodal for Newly Diagnosed Glioblastoma Multiforme (Study P05572),Adverse Event,1,47,4,Temozolomide + Radiation,TRUE,TRUE,,,,,TRUE,TRUE,,,,,,TRUE,75,mg/m2,TRUE,TRUE,150,mg/m2,200,mg/m2,,,,,,,,,,,TRUE,FALSE,,,,,,,,,,,,,,FALSE,13.17,
Standard Temodal (Temozolomide) Regimen Versus Standard Regimen Plus Early Postsurgery Temodal for Newly Diagnosed Glioblastoma Multiforme (Study P05572),Progressive Disease,17,47,4,Temozolomide + Radiation,TRUE,TRUE,,,,,TRUE,TRUE,,,,,,TRUE,75,mg/m2,TRUE,TRUE,150,mg/m2,200,mg/m2,,,,,,,,,,,TRUE,FALSE,,,,,,,,,,,,,,FALSE,13.17,
Standard Temodal (Temozolomide) Regimen Versus Standard Regimen Plus Early Postsurgery Temodal for Newly Diagnosed Glioblastoma Multiforme (Study P05572),Lost to Follow-up,7,47,4,Temozolomide + Radiation,TRUE,TRUE,,,,,TRUE,TRUE,,,,,,TRUE,75,mg/m2,TRUE,TRUE,150,mg/m2,200,mg/m2,,,,,,,,,,,TRUE,FALSE,,,,,,,,,,,,,,FALSE,13.17,
Standard Temodal (Temozolomide) Regimen Versus Standard Regimen Plus Early Postsurgery Temodal for Newly Diagnosed Glioblastoma Multiforme (Study P05572),Death,6,47,4,Temozolomide + Radiation,TRUE,TRUE,,,,,TRUE,TRUE,,,,,,TRUE,75,mg/m2,TRUE,TRUE,150,mg/m2,200,mg/m2,,,,,,,,,,,TRUE,FALSE,,,,,,,,,,,,,,FALSE,13.17,
Standard Temodal (Temozolomide) Regimen Versus Standard Regimen Plus Early Postsurgery Temodal for Newly Diagnosed Glioblastoma Multiforme (Study P05572),Withdrawal by Subject,13,47,4,Temozolomide + Radiation,TRUE,TRUE,,,,,TRUE,TRUE,,,,,,TRUE,75,mg/m2,TRUE,TRUE,150,mg/m2,200,mg/m2,,,,,,,,,,,TRUE,FALSE,,,,,,,,,,,,,,FALSE,13.17,
Standard Temodal (Temozolomide) Regimen Versus Standard Regimen Plus Early Postsurgery Temodal for Newly Diagnosed Glioblastoma Multiforme (Study P05572),Protocol Violation,1,47,4,Temozolomide + Radiation,TRUE,TRUE,,,,,TRUE,TRUE,,,,,,TRUE,75,mg/m2,TRUE,TRUE,150,mg/m2,200,mg/m2,,,,,,,,,,,TRUE,FALSE,,,,,,,,,,,,,,FALSE,13.17,
Standard Temodal (Temozolomide) Regimen Versus Standard Regimen Plus Early Postsurgery Temodal for Newly Diagnosed Glioblastoma Multiforme (Study P05572),Not Specified,1,47,4,Temozolomide + Radiation,TRUE,TRUE,,,,,TRUE,TRUE,,,,,,TRUE,75,mg/m2,TRUE,TRUE,150,mg/m2,200,mg/m2,,,,,,,,,,,TRUE,FALSE,,,,,,,,,,,,,,FALSE,13.17,
Standard Temodal (Temozolomide) Regimen Versus Standard Regimen Plus Early Postsurgery Temodal for Newly Diagnosed Glioblastoma Multiforme (Study P05572),None,1,47,4,Temozolomide + Radiation,TRUE,TRUE,,,,,TRUE,TRUE,,,,,,TRUE,75,mg/m2,TRUE,TRUE,150,mg/m2,200,mg/m2,,,,,,,,,,,TRUE,FALSE,,,,,,,,,,,,,,FALSE,13.17,
Standard Temodal (Temozolomide) Regimen Versus Standard Regimen Plus Early Postsurgery Temodal for Newly Diagnosed Glioblastoma Multiforme (Study P05572),Adverse Event,1,52,4,"Temozolomide Alone, Then Temozolomide + Radiation",TRUE,TRUE,TRUE,Temozolomide,75,mg/m2,TRUE,TRUE,,,,,,TRUE,75,mg/m2,TRUE,TRUE,150,mg/m2,200,mg/m2,,,,,,,,,,,TRUE,FALSE,,,,,,,,,,,,,,FALSE,17.58,
Standard Temodal (Temozolomide) Regimen Versus Standard Regimen Plus Early Postsurgery Temodal for Newly Diagnosed Glioblastoma Multiforme (Study P05572),Progressive Disease,23,52,4,"Temozolomide Alone, Then Temozolomide + Radiation",TRUE,TRUE,TRUE,Temozolomide,75,mg/m2,TRUE,TRUE,,,,,,TRUE,75,mg/m2,TRUE,TRUE,150,mg/m2,200,mg/m2,,,,,,,,,,,TRUE,FALSE,,,,,,,,,,,,,,FALSE,17.58,
Standard Temodal (Temozolomide) Regimen Versus Standard Regimen Plus Early Postsurgery Temodal for Newly Diagnosed Glioblastoma Multiforme (Study P05572),Lost to Follow-up,5,52,4,"Temozolomide Alone, Then Temozolomide + Radiation",TRUE,TRUE,TRUE,Temozolomide,75,mg/m2,TRUE,TRUE,,,,,,TRUE,75,mg/m2,TRUE,TRUE,150,mg/m2,200,mg/m2,,,,,,,,,,,TRUE,FALSE,,,,,,,,,,,,,,FALSE,17.58,
Standard Temodal (Temozolomide) Regimen Versus Standard Regimen Plus Early Postsurgery Temodal for Newly Diagnosed Glioblastoma Multiforme (Study P05572),Death,3,52,4,"Temozolomide Alone, Then Temozolomide + Radiation",TRUE,TRUE,TRUE,Temozolomide,75,mg/m2,TRUE,TRUE,,,,,,TRUE,75,mg/m2,TRUE,TRUE,150,mg/m2,200,mg/m2,,,,,,,,,,,TRUE,FALSE,,,,,,,,,,,,,,FALSE,17.58,
Standard Temodal (Temozolomide) Regimen Versus Standard Regimen Plus Early Postsurgery Temodal for Newly Diagnosed Glioblastoma Multiforme (Study P05572),Withdrawal by Subject,4,52,4,"Temozolomide Alone, Then Temozolomide + Radiation",TRUE,TRUE,TRUE,Temozolomide,75,mg/m2,TRUE,TRUE,,,,,,TRUE,75,mg/m2,TRUE,TRUE,150,mg/m2,200,mg/m2,,,,,,,,,,,TRUE,FALSE,,,,,,,,,,,,,,FALSE,17.58,
Standard Temodal (Temozolomide) Regimen Versus Standard Regimen Plus Early Postsurgery Temodal for Newly Diagnosed Glioblastoma Multiforme (Study P05572),Protocol Violation,3,52,4,"Temozolomide Alone, Then Temozolomide + Radiation",TRUE,TRUE,TRUE,Temozolomide,75,mg/m2,TRUE,TRUE,,,,,,TRUE,75,mg/m2,TRUE,TRUE,150,mg/m2,200,mg/m2,,,,,,,,,,,TRUE,FALSE,,,,,,,,,,,,,,FALSE,17.58,
Standard Temodal (Temozolomide) Regimen Versus Standard Regimen Plus Early Postsurgery Temodal for Newly Diagnosed Glioblastoma Multiforme (Study P05572),Not Specified,3,52,4,"Temozolomide Alone, Then Temozolomide + Radiation",TRUE,TRUE,TRUE,Temozolomide,75,mg/m2,TRUE,TRUE,,,,,,TRUE,75,mg/m2,TRUE,TRUE,150,mg/m2,200,mg/m2,,,,,,,,,,,TRUE,FALSE,,,,,,,,,,,,,,FALSE,17.58,
Standard Temodal (Temozolomide) Regimen Versus Standard Regimen Plus Early Postsurgery Temodal for Newly Diagnosed Glioblastoma Multiforme (Study P05572),None,10,52,4,"Temozolomide Alone, Then Temozolomide + Radiation",TRUE,TRUE,TRUE,Temozolomide,75,mg/m2,TRUE,TRUE,,,,,,TRUE,75,mg/m2,TRUE,TRUE,150,mg/m2,200,mg/m2,,,,,,,,,,,TRUE,FALSE,,,,,,,,,,,,,,FALSE,17.58,
Study of Imatinib Mesylate in Combination With Hydroxyurea Versus Hydroxyurea Alone as an Oral Therapy in Patients With Temozolomide Resistant Progressive Glioblastoma,Unsatisfactory therapeutic effect,25,120,3,Imatinib Mesylate + Hydroxyurea (HU),FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,Imatinib Mesylate,600,mg,FALSE,,,,Hydroxyurea,1000,mg,FALSE,,FALSE,,
Study of Imatinib Mesylate in Combination With Hydroxyurea Versus Hydroxyurea Alone as an Oral Therapy in Patients With Temozolomide Resistant Progressive Glioblastoma,Adverse Event,18,120,3,Imatinib Mesylate + Hydroxyurea (HU),FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,Imatinib Mesylate,600,mg,FALSE,,,,Hydroxyurea,1000,mg,FALSE,,FALSE,,
Study of Imatinib Mesylate in Combination With Hydroxyurea Versus Hydroxyurea Alone as an Oral Therapy in Patients With Temozolomide Resistant Progressive Glioblastoma,Withdrawal by Subject,14,120,3,Imatinib Mesylate + Hydroxyurea (HU),FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,Imatinib Mesylate,600,mg,FALSE,,,,Hydroxyurea,1000,mg,FALSE,,FALSE,,
Study of Imatinib Mesylate in Combination With Hydroxyurea Versus Hydroxyurea Alone as an Oral Therapy in Patients With Temozolomide Resistant Progressive Glioblastoma,Death,5,120,3,Imatinib Mesylate + Hydroxyurea (HU),FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,Imatinib Mesylate,600,mg,FALSE,,,,Hydroxyurea,1000,mg,FALSE,,FALSE,,
